time,sPMV,baseline,flexibility_below,energy_average,t_r,rh_r,hour,day_of_week,is_weekend,synthetic,co2_ppm,forecasted_sPMV
2025-04-26 23:00:00+00:00,0.35,341.97779062454333,251.32029632885008,296.6490434766967,24.073108039876903,46.171181370492285,23,5,1,0.0,563.5092926211372,-0.33445662
2025-04-27 00:00:00+00:00,0.27,133.21540140043336,21.92967597116017,77.57253868579677,23.5373315808056,48.12131871127771,0,6,1,0.0,509.3103129515138,-0.33433875
2025-04-27 01:00:00+00:00,0.26,48.921591355432206,218.14966196052927,133.53562665798074,23.44152870342616,48.54178077467967,1,6,1,0.0,443.8247445468997,-0.33749047
2025-04-27 02:00:00+00:00,0.26,187.1422652145365,98.80047151415168,142.9713683643441,23.40377578861112,49.142062547527786,2,6,1,0.0,464.9390427973409,-0.3425452
2025-04-27 03:00:00+00:00,0.24,40.65193179506867,132.5903289661962,86.62113038063244,23.27152490113889,48.537752035083365,3,6,1,0.0,463.05361843254286,-0.3462644
2025-04-27 04:00:00+00:00,0.17,337.16945808305485,231.44844186854013,284.3089499757975,22.77205583534535,48.32799161165162,4,6,1,0.0,487.07796334478974,-0.34725836
2025-04-27 05:00:00+00:00,0.04,66.2722454752077,246.26493653110467,156.2685910031562,21.88846942116665,50.184252834583376,5,6,1,0.0,595.1578158209809,-0.34645802
2025-04-27 06:00:00+00:00,0.03,91.24847544237024,66.32746933342625,78.78797238789824,21.781469859777733,49.79787100708329,6,6,1,0.0,621.6132208362017,-0.34368312
2025-04-27 07:00:00+00:00,0.04,146.79578620547431,53.85124505285819,100.32351562916624,21.85180373797222,48.39415371177776,7,6,1,0.0,819.7848753304003,-0.3409306
2025-04-27 08:00:00+00:00,0.06,138.3223731498444,20.3706893236525,79.34653123674845,22.03777624824991,48.18906639974997,8,6,1,0.0,960.7408004965253,-0.34043533
2025-04-27 09:00:00+00:00,0.1,286.8733041556379,142.13485672352093,214.5040804395794,22.3011650615,48.13967697361115,9,6,1,0.0,1086.7747197939225,-0.34049192
2025-04-27 10:00:00+00:00,0.16,164.7303722188974,3.4419120490190727,84.08614213395823,22.75265810050139,48.16955046802228,10,6,1,0.0,1110.5704074446842,-0.34051105
2025-04-27 11:00:00+00:00,0.19,61.647341861204616,104.21026929531396,82.92880557825929,22.94619269916666,48.25187707472227,11,6,1,0.0,1196.0536662112722,-0.34060994
2025-04-27 12:00:00+00:00,0.19,96.46277227047275,18.566156212958163,57.51446424171546,22.91099876313888,49.49541361055555,12,6,1,0.0,1181.2799776000547,-0.34016687
2025-04-27 13:00:00+00:00,0.2,183.78993205269543,102.52212308112148,143.15602756690848,22.966748041500058,51.24479543883336,13,6,1,0.0,1111.8875730020752,-0.33942518
2025-04-27 14:00:00+00:00,0.2,53.23086419083469,10.102843884199144,31.66685403751692,23.005720949833343,50.38610507105554,14,6,1,0.0,1000.8255935827062,-0.3387262
2025-04-27 15:00:00+00:00,0.21,220.80769890821108,211.3099669340185,216.0588329211148,23.06629325487463,49.98333466077997,15,6,1,0.0,1075.8701356928243,-0.33812118
2025-04-27 16:00:00+00:00,0.21,204.23477766496367,53.06396546645717,128.64937156571042,23.04980811611108,49.276640733250005,16,6,1,0.0,1238.7882692641365,-0.33762607
2025-04-27 17:00:00+00:00,0.2,258.007536213995,83.06210372055173,170.5348199672734,23.01458083861112,48.50656705427781,17,6,1,0.0,1065.83991584077,-0.33717063
2025-04-27 18:00:00+00:00,0.19,338.51136615195173,220.12214314141715,279.31675464668444,22.94333187797221,47.96761202311113,18,6,1,0.0,944.0440955151048,-0.33674923
2025-04-27 19:00:00+00:00,0.25,329.3238965575172,188.8053135170479,259.06460503728255,23.38718273782857,46.57684524514288,19,6,1,0.0,930.7671393135498,-0.33644402
2025-04-27 20:00:00+00:00,0.32,341.5332981228481,55.4167054954408,198.4750018091445,23.910097166167134,46.29356728363113,20,6,1,0.0,782.3649602498197,-0.33626935
2025-04-27 21:00:00+00:00,0.25,88.34233052555604,18.1905529203465,53.26644172295127,23.39852041000005,48.103883036824506,21,6,1,0.0,761.4370226842788,-0.33619452
2025-04-27 22:00:00+00:00,0.26,47.49507569680701,181.0654655444009,114.28027062060396,23.414554464305564,48.2345179345556,22,6,1,0.0,610.4477139636579,-0.33593377
2025-04-27 23:00:00+00:00,0.26,109.1218888792179,98.84774532409166,103.98481710165478,23.449970670138875,48.3456298404166,23,6,1,0.0,507.4418196824903,-0.3341515
2025-04-28 00:00:00+00:00,0.27,323.1257473686396,193.81823977691,258.47199357277475,23.489692687333385,48.09426859755553,0,0,0,0.0,480.25870725495895,-0.3339592
2025-04-28 01:00:00+00:00,0.27,350.91130433907927,112.65957741092824,231.78544087500376,23.48483091991667,48.01930740122221,1,0,0,0.0,545.636203463633,-0.3392584
2025-04-28 02:00:00+00:00,0.27,310.21630733644184,87.53861048198593,198.87745890921389,23.49863946108634,47.88271869465174,2,0,0,0.0,423.1564409182792,-0.3401168
2025-04-28 03:00:00+00:00,0.25,39.71639732704324,114.15496827773632,76.93568280238978,23.39949817169448,47.40579918722224,3,0,0,0.0,517.3593295062547,-0.34347704
2025-04-28 04:00:00+00:00,0.17,342.0215072995853,189.3854233746812,265.70346533713325,22.837442594222225,42.177938100944445,4,0,0,0.0,430.00264866033086,-0.34340683
2025-04-28 05:00:00+00:00,0.07,152.83224787363375,228.26173249471464,190.5469901841742,22.139609755861123,41.37058353411111,5,0,0,0.0,625.8691958969911,-0.34335613
2025-04-28 06:00:00+00:00,0.08,3.3610149652096784,12.59110073690961,7.976057851059644,22.21588713858333,43.34689534497221,6,0,0,0.0,750.339136230755,-0.34238026
2025-04-28 07:00:00+00:00,0.1,159.7041404100979,132.60021993041966,146.15218017025876,22.293414604305468,43.76227368244447,7,0,0,0.0,715.6734970154831,-0.34036043
2025-04-28 08:00:00+00:00,0.12,16.630970252843802,8.307363558221033,12.469166905532418,22.448603138551555,43.84371274540388,8,0,0,0.0,905.7621782920592,-0.33934712
2025-04-28 09:00:00+00:00,0.13,196.33992953916345,118.50761489116276,157.4237722151631,22.52161000024997,43.95022703819447,9,0,0,0.0,1078.6565931901612,-0.33854684
2025-04-28 10:00:00+00:00,0.16,122.21800390477551,223.97655576151573,173.09727983314565,22.75913702075001,43.75304059986112,10,0,0,0.0,1145.6521461682908,-0.33767912
2025-04-28 11:00:00+00:00,0.23,170.9100110274516,91.48233740433837,131.19617421589498,23.23616417850001,43.26504938333333,11,0,0,0.0,1238.8460927380097,-0.3369347
2025-04-28 12:00:00+00:00,0.27,221.35450022826524,235.90995653340275,228.632228380834,23.56197129408332,43.66847863713888,12,0,0,0.0,1171.3122224797812,-0.3363373
2025-04-28 13:00:00+00:00,0.29,313.63719559023315,159.54394332760418,236.59056945891865,23.686077830903432,43.12437920264796,13,0,0,0.0,1219.3767080511684,-0.33577147
2025-04-28 14:00:00+00:00,0.19,238.94646910636624,236.3413019796306,237.6438855429984,22.99297723827776,45.09568014158331,14,0,0,0.0,1045.9024733344886,-0.33519983
2025-04-28 15:00:00+00:00,0.19,156.69164152062322,191.56315622936748,174.12739887499535,22.955747387611108,45.2121366818611,15,0,0,0.0,1059.151871157824,-0.3346648
2025-04-28 16:00:00+00:00,0.2,295.8134551750018,26.169097162136858,160.99127616856933,23.000831657444376,45.41634671924997,16,0,0,0.0,1187.3425749978528,-0.33428022
2025-04-28 17:00:00+00:00,0.2,326.9151516639008,58.4812959933573,192.69822382862904,23.024998263833364,45.343336084000015,17,0,0,0.0,1059.8216551885585,-0.3340026
2025-04-28 18:00:00+00:00,0.2,43.2333478820232,99.72512500962706,71.47923644582514,23.06047016899994,45.053790537388906,18,0,0,0.0,1039.5470679277053,-0.33370855
2025-04-28 19:00:00+00:00,0.25,192.0278048965577,43.037041149055234,117.53242302280648,23.403061396768774,45.02108200426183,19,0,0,0.0,846.9834368599942,-0.333447
2025-04-28 20:00:00+00:00,0.28,102.70881746702234,125.21263600849512,113.96072673775872,23.609525982999983,45.49251721708334,20,0,0,0.0,824.6241742372312,-0.3333389
2025-04-28 21:00:00+00:00,0.3,16.989092433578012,119.25614339247711,68.12261791302757,23.713645430835697,45.560691036545954,21,0,0,0.0,696.466342750891,-0.3333864
2025-04-28 22:00:00+00:00,0.3,241.3453569361487,241.9335771009275,241.63946701853808,23.762415133888847,45.74669523255555,22,0,0,0.0,609.2306345118743,-0.33359793
2025-04-28 23:00:00+00:00,0.31,311.4602506627804,109.73315437268236,210.5967025177314,23.80747073961104,45.78946487641666,23,0,0,0.0,464.4872909359475,-0.33390775
2025-04-29 00:00:00+00:00,0.31,58.80785826633925,198.76358148486344,128.78571987560133,23.82720694320339,45.97910365147634,0,1,0,0.0,589.9087301495283,-0.33449224
2025-04-29 01:00:00+00:00,0.31,293.2813304022281,238.3033678474244,265.7923491248263,23.815643930611067,46.0296021885278,1,1,0,0.0,544.9590626314592,-0.3353959
2025-04-29 02:00:00+00:00,0.31,308.0758598068359,221.87817423641832,264.97701702162715,23.81735993486108,46.22865551836111,2,1,0,0.0,434.2016209317424,-0.33456302
2025-04-29 03:00:00+00:00,0.3,330.07689980260056,52.79290900143273,191.43490440201663,23.73416531899996,46.45603991619442,3,1,0,0.0,402.7385442500664,-0.33359328
2025-04-29 04:00:00+00:00,0.2,95.76791716006493,125.4955632461467,110.6317402031058,23.030415213314747,43.72207740409471,4,1,0,0.0,520.1658021368914,-0.3344694
2025-04-29 05:00:00+00:00,0.11,326.32705653355004,87.9781649208692,207.1526107272096,22.405025837611102,44.73485522766668,5,1,0,0.0,477.6879325446874,-0.33425608
2025-04-29 06:00:00+00:00,0.13,115.75925445985204,101.16424986971552,108.46175216478376,22.555498339944457,44.98792813619441,6,1,0,0.0,700.976646797413,-0.3340666
2025-04-29 07:00:00+00:00,0.15,199.3940228574365,91.28412704017506,145.33907494880577,22.67333239991668,45.069162707833335,7,1,0,0.0,754.780243852269,-0.3346202
2025-04-29 08:00:00+00:00,0.16,18.23319697045385,209.06888017427605,113.65103857236495,22.76930375197221,45.19151343213891,8,1,0,0.0,904.8353628587688,-0.33450493
2025-04-29 09:00:00+00:00,0.24,15.84107290111644,114.3911809459792,65.11612692354782,23.306054173277776,45.33406143197225,9,1,0,0.0,1052.4231210565645,-0.3349996
2025-04-29 10:00:00+00:00,0.26,260.05472979632526,132.4946660579061,196.27469792711568,23.44242068320332,45.47797786941502,10,1,0,0.0,1068.093035749428,-0.33535618
2025-04-29 11:00:00+00:00,0.26,160.45727204998258,248.55918133290987,204.50822669144625,23.45974246683337,45.78813565569445,11,1,0,0.0,1164.6444459353395,-0.3352542
2025-04-29 12:00:00+00:00,0.26,92.52154750828754,15.17475586445366,53.8481516863706,23.45734380640668,46.6928603826741,12,1,0,0.0,1217.6990966335504,-0.33515188
2025-04-29 13:00:00+00:00,0.3,68.73927206499258,123.45328286705944,96.096277466026,23.77094317019445,45.79292542138892,13,1,0,0.0,998.5443831416676,-0.33496028
2025-04-29 14:00:00+00:00,0.39,241.85321020017773,195.83761185736736,218.84541102877256,24.364498234166668,44.78031945761112,14,1,0,0.0,1122.120962296416,-0.33478877
2025-04-29 15:00:00+00:00,0.46,0.144957393147694,38.24397542162132,19.194466407384503,24.887915409944465,44.13828400494444,15,1,0,0.0,1122.182006623287,-0.33454216
2025-04-29 16:00:00+00:00,0.47,290.9267120800644,154.7174934375378,222.8221027588011,24.96708135097223,44.091244771694456,16,1,0,0.0,1135.3516993798237,-0.33429152
2025-04-29 17:00:00+00:00,0.42,28.609107812904305,60.58458922222009,44.596848517562194,24.59066582813371,44.575418275571,17,1,0,0.0,1069.1377315356578,-0.33408073
2025-04-29 18:00:00+00:00,0.38,69.12775098183111,219.4532406458156,144.29049581382336,24.30174848766669,45.04344195266667,18,1,0,0.0,1009.58231891304,-0.33387613
2025-04-29 19:00:00+00:00,0.39,139.43133870297137,82.75621534622006,111.09377702459572,24.382193204916693,45.83416875194442,19,1,0,0.0,910.0526467537052,-0.33372977
2025-04-29 20:00:00+00:00,0.4,175.0340050375134,83.25289267593011,129.14344885672176,24.46455390175005,46.3080860349722,20,1,0,0.0,869.3390328642606,-0.33364505
2025-04-29 21:00:00+00:00,0.4,128.153236808833,151.34305126502707,139.74814403693006,24.459439785654588,46.4194868292758,21,1,0,0.0,685.8628577597883,-0.33368263
2025-04-29 22:00:00+00:00,0.41,115.77709155933007,46.44141575433691,81.1092536568335,24.5109913701671,46.62914364328691,22,1,0,0.0,654.8291918575402,-0.33394
2025-04-29 23:00:00+00:00,0.5,347.973680358421,72.07682564247445,210.0252530004477,25.17945968097491,45.02134933061281,23,1,0,0.0,581.3283955891839,-0.33436552
2025-04-30 00:00:00+00:00,0.53,135.20898290389786,204.28235925650785,169.74567108020284,25.354730584488596,44.34043923292615,0,2,0,,585.7523843153024,-0.3334996402263641
2025-04-30 01:00:00+00:00,0.43,343.2078646139797,226.7110988806438,284.95948174731177,24.647859340777845,45.960026338527776,1,2,0,,672.6365745327361,-0.3333323299884796
2025-04-30 02:00:00+00:00,0.4,264.24981299391726,80.45487916788156,172.3523460808994,24.47808110499997,46.61473459677781,2,2,0,,508.5445255346584,-0.332494854927063
2025-04-30 03:00:00+00:00,0.38,216.1157127951302,27.84313690550222,121.9794248503162,24.325930066350924,46.21412176278553,3,2,0,,536.7782820090299,-0.3313007652759552
2025-04-30 04:00:00+00:00,0.3,56.32272919971958,57.667596123111245,56.99516266141541,23.765373464011123,43.236921464401085,4,2,0,,527.7000881746601,-0.3297597467899322
2025-04-30 05:00:00+00:00,0.22,56.314021841369154,108.05827052244284,82.186146181906,23.186220481944424,43.347495566416654,5,2,0,,592.5695625652899,-0.3279174268245697
2025-04-30 06:00:00+00:00,0.21,20.968183992720004,206.9577357783908,113.9629598855554,23.144998031388877,43.42343086658335,6,2,0,,624.2365377679827,-0.3257023990154266
2025-04-30 07:00:00+00:00,0.23,312.6895886247516,217.76483756385488,265.22721309430324,23.251498524388836,43.79116134630556,7,2,0,,837.9484610246634,-0.3229546248912811
2025-04-30 08:00:00+00:00,0.25,217.0025192392984,1.758889024391248,109.3807041318448,23.40708182108333,43.90281522536115,8,2,0,,921.3587392731214,-0.3195001780986786
2025-04-30 09:00:00+00:00,0.26,255.6142005843724,129.21906755212413,192.41663406824827,23.49135046632314,44.00914593325907,9,2,0,,1028.1590696629996,-0.3152220249176025
2025-04-30 10:00:00+00:00,0.31,7.431002440784683,105.60498379664108,56.51799311871288,23.854053773166708,43.970441521972205,10,2,0,,1095.731822608545,-0.3099987804889679
2025-04-30 11:00:00+00:00,0.35,350.13745663048,56.19327604909476,203.16536633978737,24.068610308055582,44.5687037468611,11,2,0,,1204.093706969316,-0.3036363422870636
